,bodyPart,equipment,gifUrl,id,name,target
0,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0001.gif,0001,3/4 sit-up,abs
1,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0002.gif,0002,45Â° side bend,abs
2,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0003.gif,0003,air bike,abs
3,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1512.gif,1512,all fours squad stretch,quads
4,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0006.gif,0006,alternate heel touchers,abs
5,lower legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1368.gif,1368,ankle circles,calves
6,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/3293.gif,3293,archer pull up,lats
7,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/3294.gif,3294,archer push up,pectorals
8,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/2355.gif,2355,arm slingers hanging bent knee legs,abs
9,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/2333.gif,2333,arm slingers hanging straight legs,abs
10,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3214.gif,3214,arms apart circular toe touch (male),glutes
11,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3204.gif,3204,arms overhead full sit-up (male),abs
12,cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/3220.gif,3220,astride jumps (male),cardiovascular system
13,cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/3672.gif,3672,back and forth step,cardiovascular system
14,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/3297.gif,3297,back lever,upper back
15,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/1405.gif,1405,back pec stretch,lats
16,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1473.gif,1473,backward jump,quads
17,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0020.gif,0020,balance board,quads
18,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3212.gif,3212,basic toe touch (male),glutes
19,cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/3360.gif,3360,bear crawl,cardiovascular system
20,upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/0129.gif,0129,bench dip (knees bent),triceps
21,upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/1399.gif,1399,bench dip on floor,triceps
22,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0130.gif,0130,bench hip extension,glutes
23,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/3019.gif,3019,bench pull-ups,lats
24,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3639.gif,3639,bent knee lying twist (male),glutes
25,upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/1770.gif,1770,biceps leg concentration curl,biceps
26,upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/0139.gif,0139,biceps narrow pull-ups,biceps
27,upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/0140.gif,0140,biceps pull-up,biceps
28,upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/0137.gif,0137,body-up,triceps
29,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3543.gif,3543,bodyweight drop jump squat,glutes
30,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3544.gif,3544,bodyweight incline side plank,abs
31,upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/1771.gif,1771,bodyweight kneeling triceps extension,triceps
32,upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/1769.gif,1769,bodyweight side lying biceps curl,biceps
33,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/3168.gif,3168,bodyweight squatting row,upper back
34,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/3167.gif,3167,bodyweight squatting row (with towel),upper back
35,lower legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1373.gif,1373,bodyweight standing calf raise,calves
36,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/3156.gif,3156,bodyweight standing close-grip one arm row,upper back
37,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/3158.gif,3158,bodyweight standing close-grip row,upper back
38,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/3162.gif,3162,bodyweight standing one arm row,upper back
39,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/3161.gif,3161,bodyweight standing one arm row (with towel),upper back
40,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/3166.gif,3166,bodyweight standing row,upper back
41,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/3165.gif,3165,bodyweight standing row (with towel),upper back
42,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0138.gif,0138,bottoms-up,abs
43,lower legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1374.gif,1374,box jump down with one leg stabilization,calves
44,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/2466.gif,2466,bridge - mountain climber (cross body),abs
45,cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/1160.gif,1160,burpee,cardiovascular system
46,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0870.gif,0870,butt-ups,abs
47,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1494.gif,1494,butterfly yoga pose,adductors
48,lower legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1407.gif,1407,calf push stretch with hands against wall,calves
49,lower legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1377.gif,1377,calf stretch with hands against wall,calves
50,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/2963.gif,2963,captains chair straight leg raise,abs
51,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1548.gif,1548,chair leg extended stretch,quads
52,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/1271.gif,1271,chest and front of shoulder stretch,pectorals
53,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/0251.gif,0251,chest dip,pectorals
54,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/1430.gif,1430,chest dip (on dip-pull-up cage),pectorals
55,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/2462.gif,2462,chest dip on straight bar,pectorals
56,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/3216.gif,3216,chest tap push-up (male),pectorals
57,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/1326.gif,1326,chin-up,lats
58,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0253.gif,0253,chin-ups (narrow parallel grip),upper back
59,lower legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0257.gif,0257,circles knee stretch,calves
60,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/1273.gif,1273,clap push up,pectorals
61,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/0258.gif,0258,clock push-up,pectorals
62,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/1327.gif,1327,close grip chin-up,lats
63,upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/0259.gif,0259,close-grip push-up,triceps
64,upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/2398.gif,2398,close-grip push-up (on knees),triceps
65,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0260.gif,0260,cocoons,abs
66,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/1468.gif,1468,crab twist toe touch,abs
67,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0262.gif,0262,cross body crunch,abs
68,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0267.gif,0267,crunch (hands overhead),abs
69,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0274.gif,0274,crunch floor,abs
70,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3016.gif,3016,curl-up,abs
71,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3769.gif,3769,curtsey squat,glutes
72,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0276.gif,0276,dead bug,abs
73,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0277.gif,0277,decline crunch,abs
74,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/0279.gif,0279,decline push-up,pectorals
75,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0282.gif,0282,decline sit-up,abs
76,upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/0283.gif,0283,diamond push-up,triceps
77,lower legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0284.gif,0284,donkey calf raise,calves
78,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/1275.gif,1275,drop push up,pectorals
79,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/1167.gif,1167,dynamic chest stretch (male),pectorals
80,upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/3287.gif,3287,elbow dips,triceps
81,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/1772.gif,1772,elbow lift - reverse push-up,upper back
82,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0443.gif,0443,elbow-to-knee,abs
83,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/3292.gif,3292,elevator,upper back
84,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3303.gif,3303,flag,abs
85,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0456.gif,0456,flexion leg sit up (bent knee),abs
86,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0457.gif,0457,flexion leg sit up (straight arm),abs
87,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0459.gif,0459,flutter kicks,glutes
88,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1472.gif,1472,forward jump,quads
89,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3470.gif,3470,forward lunge (male),glutes
90,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/2429.gif,2429,frog crunch,abs
91,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3301.gif,3301,frog planche,abs
92,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3296.gif,3296,front lever,abs
93,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/3295.gif,3295,front lever reps,upper back
94,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0464.gif,0464,front plank with twist,abs
95,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3315.gif,3315,full maltese,abs
96,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3299.gif,3299,full planche,abs
97,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/3327.gif,3327,full planche push-up,pectorals
98,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0466.gif,0466,gironda sternum chin,lats
99,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3561.gif,3561,glute bridge march,glutes
100,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3523.gif,3523,glute bridge two legs on bench (male),glutes
101,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3193.gif,3193,glute-ham raise,hamstrings
102,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0467.gif,0467,gorilla chin,abs
103,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0469.gif,0469,groin crunch,abs
104,cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/3221.gif,3221,half knee bends (male),cardiovascular system
105,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3202.gif,3202,half sit-up (male),abs
106,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1511.gif,1511,hamstring stretch,hamstrings
107,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3218.gif,3218,hands clasped circular toe touch (male),glutes
108,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3215.gif,3215,hands reversed clasped circular toe touch (male),glutes
109,upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/3302.gif,3302,handstand,triceps
110,upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/0471.gif,0471,handstand push-up,triceps
111,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/1764.gif,1764,hanging leg hip raise,abs
112,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0472.gif,0472,hanging leg raise,abs
113,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/1761.gif,1761,hanging oblique knee raise,abs
114,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0473.gif,0473,hanging pike,abs
115,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0474.gif,0474,hanging straight leg hip raise,abs
116,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0475.gif,0475,hanging straight leg raise,abs
117,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0476.gif,0476,hanging straight twisting leg hip raise,abs
118,cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/3636.gif,3636,high knee against wall,cardiovascular system
119,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0484.gif,0484,hip raise (bent knee),abs
120,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1418.gif,1418,hug keens to chest,glutes
121,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0489.gif,0489,hyperextension,spine
122,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0488.gif,0488,hyperextension (on bench),spine
123,upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/3289.gif,3289,impossible dips,triceps
124,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/1471.gif,1471,inchworm,abs
125,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3698.gif,3698,inchworm v. 2,abs
126,upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/0490.gif,0490,incline close-grip push-up,triceps
127,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0491.gif,0491,incline leg hip raise (leg straight),abs
128,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/0492.gif,0492,incline push up depth jump,pectorals
129,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/0493.gif,0493,incline push-up,pectorals
130,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/3785.gif,3785,incline push-up (on box),pectorals
131,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/0494.gif,0494,incline reverse grip push-up,pectorals
132,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/3011.gif,3011,incline scapula push up,serratus anterior
133,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0495.gif,0495,incline twisting sit-up,abs
134,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0496.gif,0496,inverse leg curl (bench support),hamstrings
135,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/2400.gif,2400,inverse leg curl (on pull-up cable machine),hamstrings
136,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0499.gif,0499,inverted row,upper back
137,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/2300.gif,2300,inverted row bent knees,upper back
138,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/2298.gif,2298,inverted row on bench,upper back
139,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0497.gif,0497,inverted row v. 2,upper back
140,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0498.gif,0498,inverted row with straps,upper back
141,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1419.gif,1419,iron cross stretch,glutes
142,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/1297.gif,1297,isometric chest squeeze,pectorals
143,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/0500.gif,0500,isometric wipers,pectorals
144,cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/0501.gif,0501,jack burpee,cardiovascular system
145,cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/3224.gif,3224,jack jump (male),cardiovascular system
146,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0507.gif,0507,jackknife sit-up,abs
147,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0508.gif,0508,janda sit-up,abs
148,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0514.gif,0514,jump squat,glutes
149,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0513.gif,0513,jump squat v. 2,glutes
150,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0555.gif,0555,kick out sit,hamstrings
151,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0558.gif,0558,kipping muscle up,lats
152,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3640.gif,3640,knee touch crunch,abs
153,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/1346.gif,1346,kneeling lat stretch,lats
154,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3239.gif,3239,kneeling plank tap shoulder (male),abs
155,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/3211.gif,3211,kneeling push-up (male),pectorals
156,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/3288.gif,3288,korean dips,pectorals
157,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/3418.gif,3418,l-pull-up,lats
158,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3419.gif,3419,l-sit on floor,abs
159,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3300.gif,3300,lean planche,abs
160,shoulders,body weight,http://d205bpvrqc9yn1.cloudfront.net/2271.gif,2271,left hook. boxing,delts
161,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0570.gif,0570,leg pull in flat bench,abs
